radio,mcc,net,area,cell,lat,lon,range,samples
LTE,724,2,32177,34873365,-22.9834,-43.2378,1000,1
LTE,724,2,32177,34873366,-22.9929,-43.2524,1000,5
LTE,724,2,32177,34873367,-22.993,-43.253,1000,17
LTE,724,2,32177,34971157,-22.9803,-43.2144,1000,3
LTE,724,2,32177,34971918,-22.972,-43.2534,1000,2
LTE,724,2,32177,34972438,-22.9781,-43.2223,1000,4
LTE,724,2,32177,35008791,-22.9636,-43.2134,1000,4
LTE,724,2,32177,35010306,-22.9921,-43.2545,6947,50
LTE,724,2,32177,35010307,-22.9895,-43.2486,2340,32
LTE,724,2,32177,35010825,-22.9726,-43.2078,1000,9
LTE,724,2,32177,35010837,-22.9731,-43.2078,1000,21
LTE,724,2,32177,35010838,-22.9804,-43.2081,575,26
LTE,724,2,32177,35010839,-22.9741,-43.2071,1000,6
LTE,724,2,32177,35015939,-22.9756,-43.2158,3984,50
LTE,724,2,32177,35015957,-22.9655,-43.2047,2934,48
LTE,724,2,32177,35015958,-22.9722,-43.2077,1000,8
LTE,724,2,32177,35015959,-22.966,-43.2262,1283,51
LTE,724,2,32177,35022613,-22.9804,-43.2129,1000,6
LTE,724,2,32177,35022614,-22.9805,-43.2136,1000,6
LTE,724,2,32177,35022615,-22.9798,-43.2161,1000,6
